events,batter,pitcher,stand,p_throws,home_team,pitcher_game_pitch_count,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9
field_out,641487,592866,L,R,WSH,2,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,664238,592866,R,R,WSH,8,660688,608336,671277,669222,682928,608385,696285,592696
field_out,670042,592866,L,R,WSH,11,660688,608336,671277,669222,682928,608385,696285,592696
field_out,682928,669302,L,R,WSH,1,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,592696,669302,L,R,WSH,4,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,608841,669302,R,R,WSH,10,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,663728,592866,L,R,WSH,15,660688,608336,671277,669222,682928,608385,696285,592696
single,686527,592866,L,R,WSH,20,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,677594,592866,R,R,WSH,25,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,664034,592866,R,R,WSH,31,660688,608336,671277,669222,682928,608385,696285,592696
single,671277,669302,L,R,WSH,15,663728,664034,593871,668942,641487,664238,677594,670042
single,608385,669302,L,R,WSH,17,663728,664034,593871,668942,641487,664238,677594,670042
sac_fly,660688,669302,L,R,WSH,19,663728,664034,593871,668942,641487,664238,677594,670042
field_out,669222,669302,R,R,WSH,21,663728,664034,593871,668942,641487,664238,677594,670042
field_out,608336,669302,L,R,WSH,23,663728,664034,593871,668942,641487,664238,677594,670042
single,593871,592866,L,R,WSH,36,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,668942,592866,L,R,WSH,42,660688,608336,671277,669222,682928,608385,696285,592696
field_out,641487,592866,L,R,WSH,46,660688,608336,671277,669222,682928,608385,696285,592696
field_out,664238,592866,R,R,WSH,49,660688,608336,671277,669222,682928,608385,696285,592696
field_out,696285,669302,R,R,WSH,28,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,682928,669302,L,R,WSH,37,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,592696,669302,L,R,WSH,42,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,670042,592866,L,R,WSH,55,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,663728,592866,L,R,WSH,60,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,686527,592866,L,R,WSH,65,660688,608336,671277,669222,682928,608385,696285,592696
field_out,608841,669302,R,R,WSH,45,663728,664034,593871,668942,641487,664238,677594,670042
field_out,671277,669302,L,R,WSH,52,663728,664034,593871,668942,641487,664238,677594,670042
field_out,608385,669302,L,R,WSH,54,663728,664034,593871,668942,641487,664238,677594,670042
home_run,677594,592866,R,R,WSH,70,660688,608336,671277,669222,682928,608385,696285,592696
single,664034,592866,R,R,WSH,75,660688,608336,671277,669222,682928,608385,696285,592696
field_out,593871,592866,L,R,WSH,79,660688,608336,671277,669222,682928,608385,696285,592696
field_out,668942,592866,L,R,WSH,82,660688,608336,671277,669222,682928,608385,696285,592696
field_out,641487,592866,L,R,WSH,83,660688,608336,671277,669222,682928,608385,696285,592696
double,660688,669302,L,R,WSH,61,663728,664034,593871,668942,641487,664238,677594,670042
field_out,669222,669302,R,R,WSH,62,663728,664034,593871,668942,641487,664238,677594,670042
field_out,608336,669302,L,R,WSH,64,663728,664034,593871,668942,641487,664238,677594,670042
field_out,696285,669302,R,R,WSH,69,663728,664034,593871,668942,641487,664238,677594,670042
double,664238,592866,R,R,WSH,85,660688,608336,671277,669222,682928,608385,696285,592696
field_out,670042,676395,L,L,WSH,2,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,663728,676395,R,L,WSH,10,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,641598,676395,R,L,WSH,16,660688,608336,671277,669222,682928,608385,696285,592696
field_out,682928,669302,L,R,WSH,72,663728,664034,593871,668942,641487,664238,677594,670042
field_out,592696,669302,L,R,WSH,76,663728,664034,593871,668942,641487,664238,677594,670042
field_out,608841,669302,R,R,WSH,78,663728,664034,593871,668942,641487,664238,677594,670042
field_out,677594,571670,R,R,WSH,4,660688,608336,671277,669222,682928,608385,696285,592696
field_out,664034,571670,R,R,WSH,9,660688,608336,671277,669222,682928,608385,696285,592696
field_out,593871,571670,L,R,WSH,13,660688,608336,671277,669222,682928,608385,696285,592696
field_out,671277,642100,L,L,WSH,3,663728,664034,593871,668942,641487,664238,677594,670042
single,608385,642100,L,L,WSH,6,663728,664034,593871,668942,641487,664238,677594,670042
single,660688,642100,R,L,WSH,10,663728,664034,593871,668942,641487,664238,677594,670042
field_out,545121,663423,L,R,WSH,2,663728,664034,593871,668942,641487,664238,677594,670042
single,608336,663423,L,R,WSH,3,663728,664034,593871,668942,641487,664238,677594,670042
field_out,668942,640451,L,R,WSH,1,660688,608336,671277,545121,682928,592696,696285,645302
field_out,641487,640451,L,R,WSH,4,660688,608336,671277,545121,682928,592696,696285,645302
hit_by_pitch,664238,640451,R,R,WSH,9,660688,608336,671277,545121,682928,592696,696285,645302
strikeout,670042,640451,L,R,WSH,13,660688,608336,671277,545121,682928,592696,696285,645302
strikeout,696285,592773,R,R,WSH,3,663728,664034,593871,668942,641487,664238,677594,670042
field_out,682928,592773,L,R,WSH,4,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,592696,592773,L,R,WSH,10,663728,664034,593871,668942,641487,664238,677594,670042
strikeout,663728,640448,L,R,WSH,10,660688,608336,671277,545121,682928,592696,696285,645302
field_out,641598,640448,R,R,WSH,18,660688,608336,671277,545121,682928,592696,696285,645302
field_out,677594,640448,R,R,WSH,19,660688,608336,671277,545121,682928,592696,696285,645302
home_run,641487,669022,L,L,WSH,2,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,664238,669022,R,L,WSH,6,660688,608336,671277,669222,682928,608385,696285,592696
field_out,641598,669022,R,L,WSH,7,660688,608336,671277,669222,682928,608385,696285,592696
field_out,663728,669022,R,L,WSH,11,660688,608336,671277,669222,682928,608385,696285,592696
field_out,682928,669923,L,R,WSH,1,663728,664034,593871,664238,641487,682729,677594,571745
field_out,592696,669923,L,R,WSH,5,663728,664034,593871,664238,641487,682729,677594,571745
strikeout,608841,669923,R,R,WSH,9,663728,664034,593871,664238,641487,682729,677594,571745
strikeout,664034,669022,R,L,WSH,14,660688,608336,671277,669222,682928,608385,696285,592696
field_out,677594,669022,R,L,WSH,15,660688,608336,671277,669222,682928,608385,696285,592696
single,571745,669022,R,L,WSH,19,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,593871,669022,R,L,WSH,23,660688,608336,671277,669222,682928,608385,696285,592696
field_out,671277,669923,L,R,WSH,12,663728,664034,593871,664238,641487,682729,677594,571745
field_out,608385,669923,L,R,WSH,14,663728,664034,593871,664238,641487,682729,677594,571745
field_out,660688,669923,L,R,WSH,17,663728,664034,593871,664238,641487,682729,677594,571745
field_out,682729,669022,R,L,WSH,24,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,641487,669022,L,L,WSH,28,660688,608336,671277,669222,682928,608385,696285,592696
walk,664238,669022,R,L,WSH,35,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,641598,669022,R,L,WSH,40,660688,608336,671277,669222,682928,608385,696285,592696
field_out,669222,669923,R,R,WSH,19,663728,664034,593871,664238,641487,682729,677594,571745
field_out,608336,669923,L,R,WSH,20,663728,664034,593871,664238,641487,682729,677594,571745
field_out,696285,669923,R,R,WSH,24,663728,664034,593871,664238,641487,682729,677594,571745
field_out,663728,669022,R,L,WSH,41,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,664034,669022,R,L,WSH,47,660688,608336,671277,669222,682928,608385,696285,592696
field_out,677594,669022,R,L,WSH,52,660688,608336,671277,669222,682928,608385,696285,592696
single,682928,669923,L,R,WSH,29,663728,664034,593871,664238,641487,682729,677594,571745
field_out,592696,669923,L,R,WSH,33,663728,664034,593871,664238,641487,682729,677594,571745
single,608841,669923,R,R,WSH,34,663728,664034,593871,664238,641487,682729,677594,571745
home_run,671277,669923,L,R,WSH,35,663728,664034,593871,664238,641487,682729,677594,571745
strikeout,608385,669923,L,R,WSH,40,663728,664034,593871,664238,641487,682729,677594,571745
single,660688,669923,L,R,WSH,42,663728,664034,593871,664238,641487,682729,677594,571745
single,669222,669923,R,R,WSH,44,663728,664034,593871,664238,641487,682729,677594,571745
field_out,608336,669923,L,R,WSH,47,663728,664034,593871,664238,641487,682729,677594,571745
field_out,571745,669022,R,L,WSH,55,660688,608336,671277,669222,682928,608385,696285,592696
field_out,593871,669022,R,L,WSH,63,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,682729,669022,R,L,WSH,67,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,696285,669923,R,R,WSH,51,663728,664034,593871,664238,641487,682729,677594,571745
field_out,682928,669923,L,R,WSH,53,663728,664034,593871,664238,641487,682729,677594,571745
field_out,592696,669923,L,R,WSH,58,663728,664034,593871,664238,641487,682729,677594,571745
single,641487,669022,L,L,WSH,70,660688,608336,671277,669222,682928,608385,696285,592696
force_out,664238,669022,R,L,WSH,72,660688,608336,671277,669222,682928,608385,696285,592696
field_out,641598,669022,R,L,WSH,79,660688,608336,671277,669222,682928,608385,696285,592696
field_out,663728,669022,R,L,WSH,83,660688,608336,671277,669222,682928,608385,696285,592696
field_out,608841,669923,R,R,WSH,61,663728,664034,593871,664238,641487,682729,677594,571745
field_out,671277,669923,L,R,WSH,64,663728,664034,593871,664238,641487,682729,677594,571745
walk,608385,669923,L,R,WSH,71,663728,664034,593871,664238,641487,682729,677594,571745
home_run,660688,669923,L,R,WSH,77,663728,664034,593871,664238,641487,682729,677594,571745
field_out,669222,669923,R,R,WSH,82,663728,664034,593871,664238,641487,682729,677594,571745
single,664034,669022,R,L,WSH,86,660688,608336,671277,669222,682928,608385,696285,592696
field_out,677594,669022,R,L,WSH,88,660688,608336,671277,669222,682928,608385,696285,592696
field_out,571745,669022,R,L,WSH,92,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,593871,669022,R,L,WSH,98,660688,608336,671277,669222,682928,608385,696285,592696
field_out,608336,669912,L,L,WSH,1,663728,664034,593871,664238,641487,682729,677594,571745
field_out,696285,669912,R,L,WSH,4,663728,664034,593871,664238,641487,682729,677594,571745
single,682928,669912,L,L,WSH,9,663728,664034,593871,664238,641487,682729,677594,571745
field_out,686527,640451,L,R,WSH,4,660688,608336,671277,669222,682928,608385,696285,592696
field_out,641487,640451,L,R,WSH,8,660688,608336,671277,669222,682928,608385,696285,592696
field_out,664238,640451,R,R,WSH,10,660688,608336,671277,669222,682928,608385,696285,592696
home_run,592696,608723,L,R,WSH,3,663728,664034,593871,664238,641487,686527,677594,571745
field_out,608841,608723,R,R,WSH,11,663728,664034,593871,664238,641487,686527,677594,571745
strikeout,671277,608723,L,R,WSH,16,663728,664034,593871,664238,641487,686527,677594,571745
strikeout,608385,608723,L,R,WSH,21,663728,664034,593871,664238,641487,686527,677594,571745
strikeout,641598,571670,R,R,WSH,6,660688,608336,671277,669222,682928,608385,696285,592696
single,663728,571670,L,R,WSH,7,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,664034,571670,R,R,WSH,11,660688,608336,671277,669222,682928,608385,696285,592696
field_out,677594,571670,R,R,WSH,12,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,641487,571578,L,L,WSH,7,656180,608336,671277,669222,682928,545121,645302,592696
field_out,664238,571578,R,L,WSH,9,656180,608336,671277,669222,682928,545121,645302,592696
field_out,677594,571578,R,L,WSH,11,656180,608336,671277,669222,682928,545121,645302,592696
field_out,682928,693433,L,R,WSH,5,664874,664034,593871,664238,641487,682729,677594,571745
field_out,592696,693433,L,R,WSH,6,664874,664034,593871,664238,641487,682729,677594,571745
field_out,608841,693433,R,R,WSH,8,664874,664034,593871,664238,641487,682729,677594,571745
walk,641598,571578,R,L,WSH,17,656180,608336,671277,669222,682928,545121,645302,592696
strikeout,664034,571578,R,L,WSH,21,656180,608336,671277,669222,682928,545121,645302,592696
fielders_choice,571745,571578,R,L,WSH,26,656180,608336,671277,669222,682928,545121,645302,592696
force_out,593871,571578,R,L,WSH,31,656180,608336,671277,669222,682928,545121,645302,592696
strikeout,682729,571578,R,L,WSH,34,656180,608336,671277,669222,682928,545121,645302,592696
field_out,671277,693433,L,R,WSH,13,664874,664034,593871,664238,641487,682729,677594,571745
field_out,545121,693433,L,R,WSH,18,664874,664034,593871,664238,641487,682729,677594,571745
single,669222,693433,R,R,WSH,20,664874,664034,593871,664238,641487,682729,677594,571745
field_out,608336,693433,L,R,WSH,21,664874,664034,593871,664238,641487,682729,677594,571745
field_out,664874,571578,R,L,WSH,39,656180,608336,671277,669222,682928,545121,645302,592696
field_out,641487,571578,L,L,WSH,41,656180,608336,671277,669222,682928,545121,645302,592696
single,664238,571578,R,L,WSH,44,656180,608336,671277,669222,682928,545121,645302,592696
truncated_pa,677594,571578,R,L,WSH,45,656180,608336,671277,669222,682928,545121,645302,592696
field_out,656180,693433,R,R,WSH,24,664874,664034,593871,664238,641487,682729,677594,571745
field_out,645302,693433,R,R,WSH,26,664874,664034,593871,664238,641487,682729,677594,571745
strikeout,682928,693433,L,R,WSH,30,664874,664034,593871,664238,641487,682729,677594,571745
home_run,677594,571578,R,L,WSH,46,656180,608336,671277,669222,682928,545121,645302,592696
walk,641598,571578,R,L,WSH,51,656180,608336,671277,669222,682928,545121,645302,592696
home_run,664034,571578,R,L,WSH,59,656180,608336,671277,669222,682928,545121,645302,592696
field_out,571745,571578,R,L,WSH,61,656180,608336,671277,669222,682928,545121,645302,592696
single,593871,571578,R,L,WSH,65,656180,608336,671277,669222,682928,545121,645302,592696
strikeout,682729,571578,R,L,WSH,71,656180,608336,671277,669222,682928,545121,645302,592696
field_out,664874,571578,R,L,WSH,72,656180,608336,671277,669222,682928,545121,645302,592696
field_out,592696,693433,L,R,WSH,32,664874,664034,593871,664238,641487,682729,677594,571745
field_out,608841,693433,R,R,WSH,39,664874,664034,593871,664238,641487,682729,677594,571745
field_out,671277,693433,L,R,WSH,40,664874,664034,593871,664238,641487,682729,677594,571745
field_out,641487,571578,L,L,WSH,76,656180,608336,671277,669222,682928,545121,645302,592696
field_out,664238,571578,R,L,WSH,77,656180,608336,671277,669222,682928,545121,645302,592696
field_out,677594,571578,R,L,WSH,81,656180,608336,671277,669222,682928,545121,645302,592696
field_out,545121,693433,L,R,WSH,42,664874,664034,593871,664238,641487,682729,677594,571745
field_out,669222,693433,R,R,WSH,50,664874,664034,593871,664238,641487,682729,677594,571745
home_run,608336,693433,L,R,WSH,53,664874,664034,593871,664238,641487,682729,677594,571745
field_out,656180,693433,R,R,WSH,58,664874,664034,593871,664238,641487,682729,677594,571745
field_out,641598,571578,R,L,WSH,84,656180,608336,671277,669222,682928,545121,645302,592696
field_out,664034,571578,R,L,WSH,85,656180,608336,671277,669222,682928,545121,645302,592696
field_out,571745,571578,R,L,WSH,87,656180,608336,671277,669222,682928,545121,645302,592696
single,645302,693433,R,R,WSH,59,664874,664034,664238,668942,641487,682729,677594,571745
field_out,682928,693433,L,R,WSH,60,664874,664034,664238,668942,641487,682729,677594,571745
field_out,592696,693433,L,R,WSH,62,664874,664034,664238,668942,641487,682729,677594,571745
hit_by_pitch,608841,693433,R,R,WSH,65,664874,664034,664238,668942,641487,682729,677594,571745
field_out,671277,693433,L,R,WSH,68,664874,664034,664238,668942,641487,682729,677594,571745
field_out,668942,606930,L,R,WSH,3,656180,608336,671277,669222,682928,545121,645302,592696
field_out,670042,606930,L,R,WSH,5,656180,608336,671277,669222,682928,545121,645302,592696
field_out,664874,606930,R,R,WSH,7,656180,608336,671277,669222,682928,545121,645302,592696
single,545121,693433,L,R,WSH,69,664874,664034,664238,668942,641487,670042,677594,571745
single,669222,693433,R,R,WSH,70,664874,664034,664238,668942,641487,670042,677594,571745
strikeout,608336,592773,L,R,WSH,3,664874,664034,664238,668942,641487,670042,677594,571745
single,660688,592773,L,R,WSH,4,664874,664034,664238,668942,641487,670042,677594,571745
sac_fly,608385,592773,L,R,WSH,5,664874,664034,664238,668942,641487,670042,677594,571745
home_run,682928,592773,L,R,WSH,8,664874,664034,664238,668942,641487,670042,677594,571745
strikeout,592696,592773,L,R,WSH,13,664874,664034,664238,668942,641487,670042,677594,571745
double,641487,571670,L,R,WSH,6,660688,608336,671277,545121,682928,608385,696285,592696
field_out,664238,571670,R,R,WSH,8,660688,608336,671277,545121,682928,608385,696285,592696
single,677594,571670,R,R,WSH,11,660688,608336,671277,545121,682928,608385,696285,592696
field_out,641598,571670,R,R,WSH,15,660688,608336,671277,545121,682928,608385,696285,592696
single,664034,571670,R,R,WSH,17,660688,608336,671277,545121,682928,608385,696285,592696
field_out,571745,607179,R,R,WSH,1,660688,608336,671277,545121,682928,608385,696285,592696
strikeout,608841,608723,R,R,WSH,4,664874,664034,664238,668942,641487,670042,677594,571745
field_out,671277,608723,L,R,WSH,7,664874,664034,664238,668942,641487,670042,677594,571745
strikeout,545121,608723,L,R,WSH,11,664874,664034,664238,668942,641487,670042,677594,571745
double,668942,607179,L,R,WSH,2,660688,608336,671277,545121,682928,608385,696285,592696
single,670042,607179,L,R,WSH,3,660688,608336,671277,545121,682928,608385,696285,592696
strikeout,663728,607179,L,R,WSH,7,660688,608336,671277,545121,682928,608385,696285,592696
walk,641487,607179,L,R,WSH,12,660688,608336,671277,545121,682928,608385,696285,592696
hit_by_pitch,664238,607179,R,R,WSH,17,660688,608336,671277,545121,682928,608385,696285,592696
single,677594,607179,R,R,WSH,21,660688,608336,671277,545121,682928,608385,696285,592696
strikeout,641598,607179,R,R,WSH,24,660688,608336,671277,545121,682928,608385,696285,592696
field_out,664034,607179,R,R,WSH,29,660688,608336,671277,545121,682928,608385,696285,592696
strikeout,696285,662253,R,R,WSH,5,663728,664034,664238,668942,641487,670042,677594,571745
field_out,608336,662253,L,R,WSH,7,663728,664034,664238,668942,641487,670042,677594,571745
single,660688,662253,L,R,WSH,11,663728,664034,664238,668942,641487,670042,677594,571745
field_out,608385,662253,L,R,WSH,14,663728,664034,664238,668942,641487,670042,677594,571745
field_out,666397,663623,L,R,WSH,2,656180,608336,671277,545121,682928,608385,696285,592696
field_out,663616,663623,L,R,WSH,4,656180,608336,671277,545121,682928,608385,696285,592696
field_out,621043,663623,R,R,WSH,6,656180,608336,671277,545121,682928,608385,696285,592696
strikeout,682928,680573,L,R,WSH,5,680777,666135,666397,669304,621043,663616,650489,596146
field_out,592696,680573,L,R,WSH,12,680777,666135,666397,669304,621043,663616,650489,596146
hit_by_pitch,608385,680573,L,R,WSH,14,680777,666135,666397,669304,621043,663616,650489,596146
truncated_pa,608841,680573,R,R,WSH,15,680777,666135,666397,669304,621043,663616,650489,596146
home_run,596146,663623,L,R,WSH,7,656180,608336,671277,545121,682928,608385,696285,592696
strikeout,680777,663623,R,R,WSH,12,656180,608336,671277,545121,682928,608385,696285,592696
strikeout,621439,663623,R,R,WSH,18,656180,608336,671277,545121,682928,608385,696285,592696
field_out,650489,663623,L,R,WSH,19,656180,608336,671277,545121,682928,608385,696285,592696
single,608841,680573,R,R,WSH,18,680777,666135,666397,669304,621043,663616,650489,596146
field_out,671277,680573,L,R,WSH,23,680777,666135,666397,669304,621043,663616,650489,596146
field_out,545121,680573,L,R,WSH,27,680777,666135,666397,669304,621043,663616,650489,596146
field_out,608336,680573,L,R,WSH,28,680777,666135,666397,669304,621043,663616,650489,596146
field_out,666135,663623,L,R,WSH,24,656180,608336,671277,545121,682928,608385,696285,592696
field_out,669304,663623,R,R,WSH,28,656180,608336,671277,545121,682928,608385,696285,592696
field_out,666397,663623,L,R,WSH,35,656180,608336,671277,545121,682928,608385,696285,592696
single,656180,680573,R,R,WSH,35,680777,666135,666397,669304,621043,663616,650489,596146
sac_bunt,696285,680573,R,R,WSH,36,680777,666135,666397,669304,621043,663616,650489,596146
field_out,682928,680573,L,R,WSH,42,680777,666135,666397,669304,621043,663616,650489,596146
field_out,592696,680573,L,R,WSH,46,680777,666135,666397,669304,621043,663616,650489,596146
single,663616,663623,L,R,WSH,41,656180,608336,671277,545121,682928,608385,696285,592696
field_out,621043,663623,R,R,WSH,45,656180,608336,671277,545121,682928,608385,696285,592696
strikeout,596146,663623,L,R,WSH,51,656180,608336,671277,545121,682928,608385,696285,592696
field_out,680777,663623,R,R,WSH,53,656180,608336,671277,545121,682928,608385,696285,592696
walk,608385,680573,L,R,WSH,53,680777,666135,666397,669304,621043,663616,650489,596146
field_out,608841,680573,R,R,WSH,57,680777,666135,666397,669304,621043,663616,650489,596146
force_out,671277,680573,L,R,WSH,63,680777,666135,666397,669304,621043,663616,650489,596146
single,545121,680573,L,R,WSH,66,680777,666135,666397,669304,621043,663616,650489,596146
field_out,608336,680573,L,R,WSH,69,680777,666135,666397,669304,621043,663616,650489,596146
field_out,621439,663623,R,R,WSH,54,656180,608336,671277,545121,682928,608385,696285,592696
strikeout,650489,663623,L,R,WSH,57,656180,608336,671277,545121,682928,608385,696285,592696
single,666135,663623,L,R,WSH,59,656180,608336,671277,545121,682928,608385,696285,592696
strikeout,669304,663623,R,R,WSH,65,656180,608336,671277,545121,682928,608385,696285,592696
field_out,656180,680573,R,R,WSH,74,680777,666135,666397,669304,621043,663616,650489,596146
field_out,696285,680573,R,R,WSH,77,680777,666135,666397,669304,621043,663616,650489,596146
field_out,682928,595345,L,L,WSH,1,680777,666135,666397,669304,621043,663616,650489,596146
strikeout,666397,663623,L,R,WSH,69,656180,608336,671277,545121,682928,608385,696285,592696
field_out,663616,663623,L,R,WSH,71,656180,608336,671277,545121,682928,608385,696285,592696
home_run,621043,663623,R,R,WSH,72,656180,608336,671277,545121,682928,608385,696285,592696
field_out,596146,663623,L,R,WSH,73,656180,608336,671277,545121,682928,608385,696285,592696
strikeout,592696,595345,L,L,WSH,7,680777,666135,666397,669304,621043,663616,650489,596146
strikeout,608385,595345,L,L,WSH,12,680777,666135,666397,669304,621043,663616,650489,596146
field_out,608841,595345,R,L,WSH,14,680777,666135,666397,669304,621043,663616,650489,596146
field_out,680777,663623,R,R,WSH,77,656180,608336,671277,545121,682928,608385,696285,592696
single,621439,663623,R,R,WSH,80,656180,608336,671277,545121,682928,608385,696285,592696
hit_by_pitch,650489,663623,L,R,WSH,84,656180,608336,671277,545121,682928,608385,696285,592696
field_out,467793,676395,R,L,WSH,5,656180,608336,671277,545121,682928,608385,696285,592696
field_out,669304,676395,R,L,WSH,6,656180,608336,671277,545121,682928,608385,696285,592696
single,671277,681892,L,L,WSH,5,680777,467793,666397,669304,621043,663616,650489,596146
double,545121,681892,R,L,WSH,8,680777,467793,666397,669304,621043,663616,650489,596146
strikeout,608336,681892,L,L,WSH,14,680777,467793,666397,669304,621043,663616,650489,596146
field_out,660688,643377,L,R,WSH,5,680777,467793,666397,669304,621043,663616,650489,596146
field_out,696285,643377,R,R,WSH,6,680777,467793,666397,669304,621043,663616,650489,596146
strikeout,571657,676395,R,L,WSH,11,660688,608336,671277,545121,682928,608385,696285,592696
field_out,663616,676395,L,L,WSH,12,660688,608336,671277,545121,682928,608385,696285,592696
field_out,621043,640451,R,R,WSH,6,660688,608336,671277,545121,682928,608385,696285,592696
field_out,682928,573204,L,L,WSH,5,680777,467793,571657,669304,621043,622534,650489,596146
field_out,669222,573204,R,L,WSH,11,680777,467793,571657,669304,621043,622534,650489,596146
strikeout,608385,573204,L,L,WSH,15,680777,467793,571657,669304,621043,622534,650489,596146
double,596146,640451,L,R,WSH,9,660688,608336,671277,669222,682928,545121,696285,608385
single,680777,640451,R,R,WSH,13,660688,608336,671277,669222,682928,545121,696285,608385
strikeout,621439,640451,R,R,WSH,19,660688,608336,671277,669222,682928,545121,696285,608385
strikeout,650489,640451,L,R,WSH,26,660688,608336,671277,669222,682928,545121,696285,608385
field_out,467793,640451,L,R,WSH,30,660688,608336,671277,669222,682928,545121,696285,608385
home_run,608841,661395,R,R,WSH,4,680777,467793,571657,669304,621043,622534,650489,596146
single,671277,661395,L,R,WSH,6,680777,467793,571657,669304,621043,622534,650489,596146
sac_bunt,545121,661395,L,R,WSH,8,680777,467793,571657,669304,621043,622534,650489,596146
strikeout,608336,661395,L,R,WSH,15,680777,467793,571657,669304,621043,622534,650489,596146
field_out,660688,661395,L,R,WSH,16,680777,467793,571657,669304,621043,622534,650489,596146
strikeout,680777,680730,R,L,WSH,3,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,621043,680730,R,L,WSH,6,660688,608336,671277,669222,682928,608385,696285,592696
field_out,622534,680730,R,L,WSH,9,660688,608336,671277,669222,682928,608385,696285,592696
field_out,682928,641154,L,R,WSH,4,543877,467793,571657,669304,621043,650489,621439,622534
field_out,592696,641154,L,R,WSH,9,543877,467793,571657,669304,621043,650489,621439,622534
field_out,608385,641154,L,R,WSH,11,543877,467793,571657,669304,621043,650489,621439,622534
field_out,669304,680730,R,L,WSH,10,660688,608336,671277,669222,682928,608385,696285,592696
single,621439,680730,R,L,WSH,14,660688,608336,671277,669222,682928,608385,696285,592696
double,650489,680730,R,L,WSH,20,660688,608336,671277,669222,682928,608385,696285,592696
single,571657,680730,R,L,WSH,22,660688,608336,671277,669222,682928,608385,696285,592696
force_out,467793,680730,R,L,WSH,26,660688,608336,671277,669222,682928,608385,696285,592696
single,608841,641154,R,R,WSH,13,543877,467793,571657,669304,621043,650489,621439,622534
home_run,671277,641154,L,R,WSH,15,543877,467793,571657,669304,621043,650489,621439,622534
field_out,669222,641154,R,R,WSH,17,543877,467793,571657,669304,621043,650489,621439,622534
field_out,608336,641154,L,R,WSH,20,543877,467793,571657,669304,621043,650489,621439,622534
field_out,660688,641154,L,R,WSH,21,543877,467793,571657,669304,621043,650489,621439,622534
field_out,543877,680730,R,L,WSH,28,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,680777,680730,R,L,WSH,33,660688,608336,671277,669222,682928,608385,696285,592696
field_out,621043,680730,R,L,WSH,35,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,696285,641154,R,R,WSH,24,543877,467793,571657,669304,621043,650489,621439,622534
strikeout,682928,641154,L,R,WSH,27,543877,467793,571657,669304,621043,650489,621439,622534
strikeout,592696,641154,L,R,WSH,32,543877,467793,571657,669304,621043,650489,621439,622534
field_out,622534,680730,R,L,WSH,43,660688,608336,671277,669222,682928,608385,696285,592696
field_out,669304,680730,R,L,WSH,48,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,621439,680730,R,L,WSH,53,660688,608336,671277,669222,682928,608385,696285,592696
home_run,608385,641154,L,R,WSH,38,543877,467793,571657,669304,621043,650489,621439,622534
field_out,608841,641154,R,R,WSH,41,543877,467793,571657,669304,621043,650489,621439,622534
field_out,671277,641154,L,R,WSH,42,543877,467793,571657,669304,621043,650489,621439,622534
strikeout,669222,641154,R,R,WSH,48,543877,467793,571657,669304,621043,650489,621439,622534
strikeout,650489,680730,R,L,WSH,56,660688,608336,671277,669222,682928,608385,696285,592696
field_out,571657,680730,R,L,WSH,60,660688,608336,671277,669222,682928,608385,696285,592696
single,467793,680730,R,L,WSH,65,660688,608336,671277,669222,682928,608385,696285,592696
strikeout,543877,680730,R,L,WSH,70,660688,608336,671277,669222,682928,608385,696285,592696
single,608336,641154,L,R,WSH,50,543877,467793,571657,669304,621043,650489,621439,622534
double,660688,641154,L,R,WSH,51,543877,467793,571657,669304,621043,650489,621439,622534
single,696285,641154,R,R,WSH,53,543877,467793,571657,669304,621043,650489,621439,622534
field_out,682928,641154,L,R,WSH,58,543877,467793,571657,669304,621043,650489,621439,622534
strikeout,592696,641154,L,R,WSH,61,543877,467793,571657,669304,621043,650489,621439,622534
walk,608385,641154,L,R,WSH,69,543877,467793,571657,669304,621043,650489,621439,622534
single,608841,641154,R,R,WSH,70,543877,467793,571657,669304,621043,650489,621439,622534
